# atom type   radius epsilon  mass
  H        1.00       .020	1.008
  HC       1.375      .038	1.008
  HO       1.00       .020	1.008
  H2       1.00       .020	1.008
  H3       1.00       .020	1.008
  HS       1.00       .020	1.008
  OW       1.80       0.12	16.0
  OH       1.65       0.15	16.00
  OS       1.65       0.15	16.00
  O        1.6        0.20	16.00
  O2       1.6        0.20	16.00
  CH       2.385      0.049	13.02
  CZ       2.385      0.049	13.02
  C2       2.235      0.114	14.03
  C3       2.165      0.181	15.03
  CV       2.165      0.181	15.03
  CW       2.165      0.181	15.03
  C        1.85       0.120	12.01
  C*       1.85       0.120	12.01
  CB       1.85       0.120	12.01
  CC       1.85       0.120	12.01
  CN       1.85       0.120	12.01
  CA       1.85       0.120	13.02
  C4       1.85       0.120	13.02
  CD       1.85        0.12	13.02
  CF       1.85        0.12	13.02
  CG       1.85        0.12	12.01
  CP       1.85        0.12	12.01
  N         1.75      0.16	14.01
  NA        1.75      0.16	14.01
  NB        1.75      0.16	14.01
  NC        1.75      0.16	14.01
  NT        1.85      0.12	14.01
  IM        2.00      0.30	35.45
  IP        1.60      0.05	131.0
  N3       1.85       0.08	14.01
  n4       1.85       0.08      14.01
  S        2.00       0.20	32.06
  SH       2.00       0.20	32.06
  P        2.10       0.20	30.97
  Cu       1.2        0.05	63.55
  CT       1.80       0.06	12.01
  I        2.35       0.40	126.9
  LP       1.2        0.016	12.00
  Zn       1.85       0.06	65.38

# Here on, its GAFF/AMBER
  MG          0.7926  0.8947  24.305     
  C0          1.7131  0.45979 40.08          
#  Zn          1.10    0.0125  65.4     
  F           1.75    0.061   19.00      
  Cl          1.948   0.265   35.45     
  Br          2.22    0.320   79.90      
  I           2.35    0.40    126.9       
  EP          0.00    0.0000  0.00      
  2C          1.9080  0.1094  12.01
  3C          1.9080  0.1094  12.01
  C8          1.9080  0.1094  12.01
  CO          1.9080  0.0860  12.01
#
# Parameters added mannually using the correspondence table
# found in parm10.dat:
#N   NA  N2  N*  NC  NB  NT  NY
#C*  CA  CB  CC  CD  CK  CM  CN  CQ  CR  CV  CW  CY  CZ  CP  CS
#
#  CA          1.9080  0.0860  12.01
#  CB          1.9080  0.0860  12.01
#  CC          1.9080  0.0860  12.01
#  CD          1.9080  0.0860  12.01
#  CK          1.9080  0.0860  12.01
#  CM          1.9080  0.0860  12.01
#  CQ          1.9080  0.0860  12.01
#  CV          1.9080  0.0860  12.01
#  CW          1.9080  0.0860  12.01
#  CR          1.9080  0.0860  12.01
#  CN          1.9080  0.0860  12.01
#  CY          1.9080  0.0860  12.01
#  CZ          1.9080  0.0860  12.01
#  CP          1.9080  0.0860  12.01
#  CS          1.9080  0.0860  12.01
#  N2          1.8240  0.1700  14.01
#  NA          1.8240  0.1700  14.01
#  NB          1.8240  0.1700  14.01
#  NC          1.8240  0.1700  14.01
#  NT          1.8240  0.1700  14.01
#  NY          1.8240  0.1700  14.01
#
# Added from somewhere ele
#
  Fe          1.200  0.0500  55.00 
#  Cu          2.200  0.2000  63.55
  Ca          1.790  0.0140  40.00
  Si          2.220  0.3200  28.00 
  hw          0.000  0.0000  1.008
  K           2.658  0.00033 39.098

